ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.9.0,true,client,client.subdomain,keyword,extended,,east,The subdomain of the domain.
8.9.0,true,client,client.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk)."
8.9.0,true,client,client.user.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,client,client.user.email,keyword,extended,,,User email address.
8.9.0,true,client,client.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,client,client.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,client,client.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,client,client.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,client,client.user.group.name,keyword,extended,,,Name of the group.
8.9.0,true,client,client.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,client,client.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,client,client.user.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,client,client.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,client,client.user.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,client,client.user.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,client,client.user.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,client,client.user.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,client,client.user.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,client,client.user.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,client,client.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,device,device.id,keyword,extended,,00000000-54b3-e7c7-0000-000046bffd97,The unique identifier of a device.
8.9.0,true,device,device.its.advertising.id,keyword,custom,,,Advertising ID of the device.
8.9.0,true,device,device.its.advertising.tracking_enabled,boolean,custom,,,Status tracking of the device.
8.9.0,true,device,device.its.type,keyword,custom,,,Type of the device.
8.9.0,true,device,device.manufacturer,keyword,extended,,Samsung,The vendor name of the device manufacturer.
8.9.0,true,device,device.model.identifier,keyword,extended,,SM-G920F,The machine readable identifier of the device model.
8.9.0,true,device,device.model.name,keyword,extended,,Samsung Galaxy S6,The human readable marketing name of the device model.
8.9.0,true,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.
8.9.0,true,event,event.action,keyword,core,,user-password-change,The action captured by the event.
8.9.0,true,event,event.agent_id_status,keyword,extended,,verified,Validation status of the event's agent.id field.
8.9.0,true,event,event.category,keyword,core,array,authentication,Event category. The second categorization field in the hierarchy.
8.9.0,true,event,event.code,keyword,extended,,4648,Identification code for this event.
8.9.0,true,event,event.created,date,core,,2016-05-23T08:05:34.857Z,Time when the event was first read by an agent or by your pipeline.
8.9.0,true,event,event.dataset,keyword,core,,apache.access,Name of the dataset.
8.9.0,true,event,event.duration,long,core,,,Duration of the event in nanoseconds.
8.9.0,true,event,event.end,date,extended,,,`event.end` contains the date when the event ended or when the activity was last observed.
8.9.0,true,event,event.hash,keyword,extended,,123456789012345678901234567890ABCD,Hash (perhaps logstash fingerprint) of raw field to be able to demonstrate log integrity.
8.9.0,true,event,event.id,keyword,core,,8a4f500d,Unique ID to describe the event.
8.9.0,true,event,event.ingested,date,core,,2016-05-23T08:05:35.101Z,Timestamp when an event arrived in the central data store.
8.9.0,true,event,event.its.session_id,keyword,custom,,,Session ID of the event.
8.9.0,true,event,event.kind,keyword,core,,alert,The kind of the event. The highest categorization field in the hierarchy.
8.9.0,true,event,event.module,keyword,core,,apache,Name of the module this data is coming from.
8.9.0,false,event,event.original,keyword,core,,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232,Raw text message of entire event.
8.9.0,true,event,event.outcome,keyword,core,,success,The outcome of the event. The lowest level categorization field in the hierarchy.
8.9.0,true,event,event.provider,keyword,extended,,kernel,Source of the event.
8.9.0,true,event,event.reason,keyword,extended,,Terminated an unexpected process,"Reason why this event happened, according to the source"
8.9.0,true,event,event.reference,keyword,extended,,https://system.example.com/event/#0001234,Event reference URL
8.9.0,true,event,event.risk_score,float,core,,,Risk score or priority of the event (e.g. security solutions). Use your system's original value here.
8.9.0,true,event,event.risk_score_norm,float,extended,,,Normalized risk score or priority of the event (0-100).
8.9.0,true,event,event.sequence,long,extended,,,Sequence number of the event.
8.9.0,true,event,event.severity,long,core,,7,Numeric severity of the event.
8.9.0,true,event,event.start,date,extended,,,`event.start` contains the date when the event started or when the activity was first observed.
8.9.0,true,event,event.timezone,keyword,extended,,,Event time zone.
8.9.0,true,event,event.type,keyword,core,array,,Event type. The third categorization field in the hierarchy.
8.9.0,true,event,event.url,keyword,extended,,https://mysystem.example.com/alert/5271dedb-f5b0-4218-87f0-4ac4870a38fe,Event investigation URL
8.9.0,true,related,related.hash,keyword,extended,array,,All the hashes seen on your event.
8.9.0,true,related,related.hosts,keyword,extended,array,,All the host identifiers seen on your event.
8.9.0,true,related,related.ip,ip,extended,array,,All of the IPs seen on your event.
8.9.0,true,related,related.user,keyword,extended,array,,All the user names or other user identifiers seen on the event.
